frame,cpu_ms,gpu_ms,draw_calls,cpu_avg_ms,cpu_p95_ms,cpu_p99_ms,gpu_avg_ms,gpu_p95_ms,gpu_p99_ms,terrain_gpu_ms,ui_gpu_ms,vegetation_gpu_ms,vegetation_shadows_gpu_ms
1,4.225,8.224,1510,4.225,4.225,4.225,8.224,8.224,8.224,1.335,0.080,2.349,4.461
2,5.145,8.235,1510,4.685,5.099,5.136,8.230,8.235,8.235,1.292,0.104,2.373,4.467
3,4.178,9.345,1510,4.516,5.053,5.126,8.601,9.234,9.323,2.419,0.077,2.370,4.480
4,4.483,9.389,1510,4.508,5.046,5.125,8.798,9.382,9.388,1.312,0.080,3.533,4.464
5,4.133,8.213,1510,4.433,5.013,5.118,8.681,9.380,9.387,1.303,0.092,2.349,4.469
6,4.105,9.483,1510,4.378,4.979,5.112,8.815,9.459,9.478,1.364,0.084,2.367,5.668
7,4.809,8.309,1510,4.440,5.044,5.125,8.743,9.455,9.477,1.392,0.088,2.352,4.477
8,4.494,9.523,1510,4.447,5.027,5.121,8.840,9.509,9.521,1.412,0.074,2.366,5.671
9,6.892,9.310,1510,4.718,6.193,6.752,8.892,9.507,9.520,1.310,0.084,3.465,4.451
10,4.989,8.211,1510,4.745,6.106,6.734,8.824,9.505,9.520,1.295,0.080,2.372,4.464
11,4.069,9.371,1510,4.684,6.018,6.717,8.874,9.503,9.519,1.321,0.075,2.359,5.617
12,3.585,8.190,1510,4.592,5.931,6.699,8.817,9.501,9.519,1.298,0.077,2.363,4.452
13,3.621,9.350,1510,4.518,5.844,6.682,8.858,9.499,9.519,1.309,0.079,2.354,5.608
14,3.876,8.279,1510,4.472,5.756,6.665,8.817,9.497,9.518,1.352,0.082,2.361,4.484
15,4.231,9.488,1510,4.456,5.669,6.647,8.861,9.498,9.518,1.379,0.081,2.357,5.670
16,4.409,9.338,1510,4.453,5.582,6.630,8.891,9.497,9.518,1.334,0.087,3.457,4.460
17,4.027,8.217,1510,4.428,5.494,6.612,8.852,9.495,9.518,1.319,0.079,2.352,4.467
18,4.006,9.821,1510,4.404,5.407,6.595,8.905,9.568,9.771,1.327,0.080,2.367,6.048
19,4.242,8.211,1510,4.396,5.320,6.577,8.869,9.553,9.768,1.313,0.075,2.357,4.466
20,4.595,9.499,1510,4.406,5.232,6.560,8.900,9.538,9.765,1.316,0.089,2.373,5.721
21,5.200,8.237,1510,4.444,5.200,6.553,8.869,9.523,9.762,1.321,0.093,2.370,4.452
22,3.923,9.523,1510,4.420,5.198,6.536,8.898,9.523,9.759,2.591,0.077,2.373,4.481
23,4.433,9.316,1510,4.420,5.195,6.520,8.917,9.523,9.756,1.327,0.077,3.443,4.468
24,3.816,8.253,1510,4.395,5.192,6.503,8.889,9.523,9.753,1.361,0.085,2.359,4.448
25,3.815,9.362,1510,4.372,5.189,6.486,8.908,9.523,9.750,1.298,0.076,2.344,5.644
